,,,,,,annual_inc,annual_inc,dti,dti,installment,installment,int_rate,int_rate,loan_amnt,loan_amnt,revol_bal,revol_bal,revol_util,revol_util,total_pymnt,total_pymnt
loan_status,,,,,,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid
term,grade,purpose,emp_length,home_ownership,verification_status,,,,,,,,,,,,,,,,
 60 months,D,home_improvement,new,OWN,Source Verified,,156268,,16.43,,473.69,,15.95,,21000,,44397,,68.8,,26861.43639
 60 months,D,home_improvement,new,OWN,Verified,,77000,,13.825,,478.445,,17.57,,19000,,15006.5,,53.15,,26892.73986
 60 months,D,home_improvement,new,RENT,Source Verified,,24000,,7.85,,145.75,,15.95,,6000,,3646,,77.6,,8744.910003
 60 months,D,home_improvement,new,RENT,Verified,,94000,,0,,237.43,,14.91,,10000,,0,,0,,11487.98542
 60 months,D,home_improvement,old,MORTGAGE,Not Verified,70000,84000,13.27,13.48,287.25,182.35,15.28,15.58,12000,7500,5750,4332,34.6,29.9,3158.74,9566.191422
 60 months,D,home_improvement,old,MORTGAGE,Source Verified,79477.84,81708,11.62,9.36,233.17,358.51,16.24,16.49,9525,15000,10379,5770,59.55,36.7,4542.24,20237.97359
 60 months,D,home_improvement,old,MORTGAGE,Verified,54000,82000,12.815,15.42,572.65,358.51,17.02,16.02,23000,15000,11544.5,8515,72.7,41.3,3875.02,20105.81003
 60 months,D,home_improvement,old,OWN,Not Verified,,34800,,13.38,,105.79,,14.46,,4500,,3320,,73.8,,5288.779453
 60 months,D,home_improvement,old,OWN,Source Verified,123000,,5.57,,224.08,,15.7,,15000,,11093,,61,,4257.05,
 60 months,D,home_improvement,old,OWN,Verified,90000,40850,8.21,13.78,607.82,400.3,15.99,16.275,25000,16437.5,28623,12085,50.8,58.35,11065.13,23949.14001
 60 months,D,home_improvement,old,RENT,Not Verified,,66500,,11.4,,142.81,,15.02,,6000,,2744.5,,46.5,,8576.16266
 60 months,D,house,mid,MORTGAGE,Source Verified,,48000,,10.75,,438.48,,18.25,,17175,,11068,,96.2,,24936.22005
 60 months,D,house,mid,MORTGAGE,Verified,,52500,,10.735,,331.235,,16.455,,13500,,6414,,56.75,,18642.50902
 60 months,D,house,mid,OWN,Source Verified,,24000,,18.1,,131.07,,16.77,,5300,,5343,,60,,7797.649993
 60 months,D,house,mid,RENT,Not Verified,,78000,,15.17,,233.26,,16.32,,15400,,9989,,91.6,,13994.87837
 60 months,D,house,new,MORTGAGE,Verified,,80000,,4.32,,482.34,,15.62,,20000,,1959,,10.3,,27251.44523
 60 months,D,house,new,OWN,Not Verified,64200,,16.07,,192.77,,15.58,,8000,,16559,,55.2,,2245.09,
 60 months,D,house,new,RENT,Source Verified,30000,50000,1,11.5,145.96,302.48,17.58,17.27,5800,12100,0,5579,0,33,1754.43,12785.36772
 60 months,D,house,new,RENT,Verified,85000,98004,14.91,9.84,351.49,359.83,16.49,15.99,14300,21500,568,2033,10.5,19.2,5974.44,21553.04
 60 months,D,house,old,MORTGAGE,Source Verified,108750,150000,14.875,4.45,619.655,376.22,16.61,15.62,25000,15600,27503,1782,78.5,5.9,23485.66,17525.56937
 60 months,D,house,old,MORTGAGE,Verified,,48075,,9.565,,598.59,,17.915,,23625,,2306,,20.05,,32274.76744
 60 months,D,house,old,RENT,Source Verified,,60450,,18.965,,247.875,,16.72,,10000,,15469.5,,54.2,,11505.75723
 60 months,D,house,old,RENT,Verified,82000,72000,10.38,14.23,119.51,239.01,15.21,15.58,5000,10000,5045,8998,71.1,52.3,3704.57,14339.97976
 60 months,D,major_purchase,mid,MORTGAGE,Not Verified,42000,74000,10,14.915,175.82,261.115,17.49,15.8,7000,12575,8805,4954,59.9,23.75,659.15,13302.96005
 60 months,D,major_purchase,mid,MORTGAGE,Source Verified,,84000,,10.77,,192.77,,15.58,,8000,,6407,,58.2,,11565.64
 60 months,D,major_purchase,mid,MORTGAGE,Verified,,34000,,24.18,,82.72,,16.02,,3400,,8535,,85.3,,3790.000806
 60 months,D,major_purchase,mid,OWN,Not Verified,,36000,,7.1,,389.26,,16.02,,16000,,5894,,23.6,,16215
 60 months,D,major_purchase,mid,OWN,Source Verified,20400,,9.47,,71.11,,14.83,,3000,,413,,82.6,,621.56,
 60 months,D,major_purchase,mid,RENT,Not Verified,,87996,,11.35,,207.73,,16.77,,8400,,9551,,80.3,,12290.64001
 60 months,D,major_purchase,mid,RENT,Source Verified,36504,,9.01,,160.75,,17.49,,6400,,1913,,34.8,,5966.12,
 60 months,D,major_purchase,mid,RENT,Verified,29300,205000,9.48,6.76,353.315,474.86,16.605,15.65,14250,20000,3780.5,1418,51,56.1,6885.685,28491.09478
 60 months,D,major_purchase,new,MORTGAGE,Not Verified,55000,66500,5.08,11.125,119.51,73.37,15.21,15.39,5000,3050,7458,5523.5,67.2,60.3,3527.4,3407.28579
 60 months,D,major_purchase,new,MORTGAGE,Source Verified,105000,52000,14.17,13.43,376.76,156.87,17.49,15.65,15000,6500,2896,5049,45.2,61.6,4520.53,8630.317888
 60 months,D,major_purchase,new,MORTGAGE,Verified,,66370.5,,15.615,,379.585,,16.35,,15500,,27381.5,,67.9,,19670.72303
 60 months,D,major_purchase,new,OWN,Verified,,26880,,24.78,,55.26,,17.49,,2200,,24,,1.8,,2504.830352
 60 months,D,major_purchase,new,RENT,Not Verified,60000,,9.74,,293.87,,16.32,,12000,,6852,,60.6,,3426.38,
 60 months,D,major_purchase,new,RENT,Source Verified,35000,22200,8.675,20.48,158.765,86.73,15.835,15.57,6425,3600,2264.5,4612,63.7,60.9,2360.96,5138.459996
 60 months,D,major_purchase,new,RENT,Verified,33600,50004,4.46,12.51,239.01,240.96,15.21,15.58,10000,10000,3932,2539,77.1,40.5,2627.33,14304.14036
 60 months,D,major_purchase,old,MORTGAGE,Not Verified,55000,58000,16.04,15.615,95.61,106.105,15.21,15.58,4000,4400,16541,3163,93.2,54.85,4404.4,5362.565274
 60 months,D,major_purchase,old,MORTGAGE,Source Verified,,58000,,15.62,,139.66,,15.985,,5750,,19572,,52.85,,8378.840452
 60 months,D,major_purchase,old,MORTGAGE,Verified,60000,67548,8.38,11.1,239.38,361.44,15.28,15.58,10000,15000,1584,8689,15.2,44.1,10053.96,18497.06951
 60 months,D,major_purchase,old,OWN,Source Verified,60000,,14.12,,389.01,,15.99,,16000,,3104,,32.3,,12227.49,
 60 months,D,major_purchase,old,OWN,Verified,,28600,,0.84,,198.35,,16.89,,8000,,155,,2.8,,8462.426047
 60 months,D,major_purchase,old,RENT,Not Verified,,47000,,17.52,,239.38,,15.28,,10000,,7354,,76.6,,14385.33
 60 months,D,major_purchase,old,RENT,Source Verified,,54180,,9.13,,248.01,,16.89,,10550,,19647,,74.6,,11156.49115
 60 months,D,major_purchase,old,RENT,Verified,59286,92502,19.785,12.955,323.15,298.92,16.93,15.8,13000,13250,3371.5,14249.5,67.55,81.4,4020.69,15348.10474
 60 months,D,medical,mid,MORTGAGE,Verified,122000,300000,14.78,9.7,603.32,593.57,15.65,14.91,25000,25000,36067,22554,69,46.3,13291.49,29012.40581
 60 months,D,medical,mid,RENT,Not Verified,,65000,,19.51,,194.51,,15.99,,8000,,29225,,72.9,,11263.58803
 60 months,D,medical,mid,RENT,Verified,,61350,,7.615,,436.56,,17.03,,17600,,3060.5,,10.55,,22420.04862
 60 months,D,medical,new,MORTGAGE,Source Verified,,63000,,14.86,,331.55,,17.49,,13200,,20308,,84.6,,19422.72707
 60 months,D,medical,new,RENT,Not Verified,80000,38000,9.5,17.1,377.49,120.46,17.58,15.57,15000,5000,11598,12311,54.7,89.2,14956.13,7226.779438
 60 months,D,medical,new,RENT,Source Verified,70000,60000,12.89,12.92,408.48,192.77,18.25,15.58,16000,8000,26702,17072,84,93.3,7304.36,11096.43732
 60 months,D,medical,new,RENT,Verified,,47839.92,,19.14,,368.69,,16.49,,15000,,9611,,72.8,,22061.12003
 60 months,D,medical,old,MORTGAGE,Not Verified,89112,19800,16.925,5.45,239.035,97.32,16.17,16.02,9750,4000,17595,4608,64.95,31.8,5047.695,5065.341193
 60 months,D,medical,old,MORTGAGE,Source Verified,73000,,10.88,,296.75,,16.77,,12000,,13655,,45.2,,2076.28,
 60 months,D,medical,old,MORTGAGE,Verified,,78000,,18.74,,289.34,,15.65,,11700,,16965,,51.3,,14383.80534
 60 months,D,medical,old,RENT,Source Verified,50000,46000,1.68,15.81,346.62,110.78,17.49,15.28,13800,4600,2766,6086.5,40.1,52.1,960.31,6223.194459
 60 months,D,medical,old,RENT,Verified,135000,,9.78,,368.69,,16.49,,15000,,20522,,81.1,,15532.86,
 60 months,D,moving,mid,RENT,Not Verified,,24000,,2.16,,168.67,,15.58,,7000,,1351,,54,,9959.117365
 60 months,D,moving,mid,RENT,Source Verified,38664,42000,19.06,3.005,101.18,99.205,15.57,15.8,4200,4100,6707,1216.5,90.6,25.35,3470.07,5278.182884
 60 months,D,moving,mid,RENT,Verified,103000,48500,24.24,1.34,442.43,71.69,16.49,15.2,18000,3000,35385,2446,75.8,71.9,2204,4040.345281
 60 months,D,moving,new,RENT,Not Verified,,47000,,7.48,,239.01,,15.21,,10000,,10378,,40.5,,13813.43042
 60 months,D,moving,new,RENT,Source Verified,43200,62400,15.42,12.43,109.255,301.41,15.85,16.77,4500,12000,4582,5768,87.65,74.9,3700.86,13577.0999
 60 months,D,moving,old,MORTGAGE,Verified,,98200,,13.05,,282.09,,14.46,,12000,,9257,,94,,14103.30881
 60 months,D,moving,old,RENT,Source Verified,,65328,,11.65,,188.06,,14.46,,8000,,1936,,18.3,,11285.78191
 60 months,D,moving,old,RENT,Verified,,82000,,11.22,,144.58,,15.58,,6000,,11108,,31.2,,7763.830449
 60 months,D,other,mid,MORTGAGE,Not Verified,,91200,,21.82,,334.54,,15.2,,14000,,45502,,92.5,,19687.70001
 60 months,D,other,mid,MORTGAGE,Source Verified,163400,110000,4.16,9.81,204.23,385.45,15.99,15.57,8400,16000,10,7553,0.4,51.3,8496,19677.4594
 60 months,D,other,mid,MORTGAGE,Verified,40296,84048,6.4,13.405,97.17,323.75,15.95,16.24,4000,13250,5654,7304.5,60.1,65.9,595.63,16092.61621
 60 months,D,other,mid,OWN,Source Verified,,30000,,18.84,,336.72,,16.32,,13750,,13155,,44.1,,20202.79998
 60 months,D,other,mid,RENT,Not Verified,39902,45800,18.125,17.175,80.57,83.485,16.235,15.45,3300,3500,5020,1665,67.1,37.2,3009.165,4812.017387
 60 months,D,other,mid,RENT,Source Verified,39996,39500,11.93,14.265,100,214.16,15.99,15.43,4000,8900,3094,5079.5,70.3,48.15,1192.63,11481.72698
 60 months,D,other,mid,RENT,Verified,90000,65666.5,24.41,17.365,143.38,265.65,15.2,15.765,6000,11000,41331,4382,96.6,41.05,3564.28,13537.18759
 60 months,D,other,new,MORTGAGE,Not Verified,,73252,,15.555,,161.695,,16.905,,6500,,7299.5,,50,,9309.907
 60 months,D,other,new,MORTGAGE,Source Verified,42000,41159,13.14,2.22,218.82,71.71,15.99,15.21,9000,3000,688,3064,52.9,36,3068.82,3931.515027
 60 months,D,other,new,MORTGAGE,Verified,29268,129996,13.28,9.1,119.51,380.31,15.21,15.65,5000,16000,3667,5578,43.1,49.5,2361.88,22817.98846
 60 months,D,other,new,OWN,Not Verified,,75000,,16.21,,374.97,,17.27,,15000,,10219,,74.9,,16461.8751
 60 months,D,other,new,OWN,Source Verified,,9600,,0,,89.26,,16.89,,3600,,0,,0,,4231.557459
 60 months,D,other,new,RENT,Not Verified,50004,41004,13.15,12.54,123.65,145.88,16.32,15.65,5000,6000,4345,3198,59.5,81.9,1609.12,8687.539812
 60 months,D,other,new,RENT,Source Verified,41004,31580,11.29,22.005,196.64,134.095,15.99,15.82,8000,5500,3173,6431,39.2,70.15,4733.85,8016.385002
 60 months,D,other,new,RENT,Verified,38000,70000,14.705,16.845,246.585,280.635,16.49,16.44,9800,11200,5952,4454,66.35,28.95,5121.86,13852.5099
 60 months,D,other,old,MORTGAGE,Not Verified,138300,50000,10.635,20.33,369.395,347.11,16.42,15.21,15000,14000,16632,14969,59.5,47.9,14507.45,19898.40072
 60 months,D,other,old,MORTGAGE,Source Verified,52938,94092,13.775,10.34,251.075,332.4,16.07,15.65,14000,14000,8435.5,19160,76.65,58.1,5202.01,17332.5588
 60 months,D,other,old,MORTGAGE,Verified,100000,85870,19.175,18.98,473.54,272.345,17.57,16.38,19125,11000,22135,11740.5,75.3,61.45,17755.385,12762.83922
 60 months,D,other,old,OWN,Source Verified,54996,,8.9,,120.57,,17.49,,4800,,3272,,55.5,,3086.26,
 60 months,D,other,old,OWN,Verified,78000,119377,21.18,11.36,632.14,814.22,15.99,17.38,26000,32500,25371,23840.5,82.4,62.3,13274.43,41894.26054
 60 months,D,other,old,RENT,Not Verified,82012,56000,12.905,12.1,175.845,248.245,16.135,15.615,7200,10500,5875.5,13190.5,31.4,68.5,3753.785,12374.42667
 60 months,D,other,old,RENT,Source Verified,52416,30000,14.11,6.32,121.57,117.99,15.65,16.49,5000,4800,2274,4156,59.1,45.7,1716.29,6878.415849
 60 months,D,other,old,RENT,Verified,58000,65004,19.82,2.06,254.925,175.82,17.38,15.57,10837.5,7000,13847,3753,73.4,49.4,8977.875,10446.04001
 60 months,D,renewable_energy,mid,MORTGAGE,Verified,,110000,,14.11,,851.51,,16.02,,35000,,8727,,37.8,,39845.99983
 60 months,D,renewable_energy,mid,RENT,Source Verified,,34700,,8.2,,61.45,,16.49,,2500,,604,,15.1,,2826.157277
 60 months,D,renewable_energy,old,MORTGAGE,Verified,,75000,,17.71,,191.21,,15.21,,8000,,20064,,49.7,,11471.92564
 60 months,D,renewable_energy,old,OWN,Source Verified,,140000,,14.34,,301.99,,17.58,,12000,,26216,,90.7,,13838.01934
 60 months,D,renewable_energy,old,RENT,Source Verified,,96000,,23.91,,200.77,,15.21,,8400,,11271,,44.7,,11977.37001
 60 months,D,small_business,mid,MORTGAGE,Not Verified,42500,,22.1,,210.5,,15.28,,8825,,16759.5,,56.85,,3032.715,
 60 months,D,small_business,mid,MORTGAGE,Source Verified,,42100,,20.52,,209.09,,15.99,,8600,,13205,,79.1,,12563.55999
 60 months,D,small_business,mid,MORTGAGE,Verified,70000,125500,13.31,13.99,463.72,433.415,17.27,16.63,18550,18600,4923,13024.5,62.3,63.8,10441.43,25834.61005
 60 months,D,small_business,mid,OWN,Source Verified,,120000,,13.71,,191.5,,15.28,,8000,,21747,,97.5,,11412.97
 60 months,D,small_business,mid,OWN,Verified,40000,,19.76,,499.96,,17.27,,20000,,6170,,37.9,,2022.5,
 60 months,D,small_business,mid,RENT,Source Verified,60600,,12.54,,264.895,,16.765,,10750,,7391,,30.85,,2809.92,
 60 months,D,small_business,mid,RENT,Verified,58500,37500,11.49,16.215,742.45,187.85,17.27,16.09,29700,11950,8322,5437,15.8,34.45,9651.58,11172.05711
 60 months,D,small_business,new,MORTGAGE,Not Verified,,95500,,15.19,,297.53,,15.95,,12000,,43305,,58.7,,13299.05451
 60 months,D,small_business,new,MORTGAGE,Source Verified,64000,65000,10.57,6.6,298.53,599.96,15.24,15.65,12500,28000,5046,2355,39.15,28.5,2804.83,33711.71
 60 months,D,small_business,new,MORTGAGE,Verified,91000,45000,12.67,12.095,494.59,461.945,16.32,15.99,24000,19000,12128,11815.5,35.6,41.435,4980.29,23752.02865
 60 months,D,small_business,new,RENT,Source Verified,64000,54000,7.2,11.97,401.535,295.17,17.87,15.99,22000,13200,7268.5,7411,27.6,61,5575.86,17710.14999
 60 months,D,small_business,new,RENT,Verified,36200,24000,14.05,9.25,279.185,336.72,16.455,16.32,11600,13750,5568,3522,62.2,88,4779.035,20202.79998
 60 months,D,small_business,old,MORTGAGE,Not Verified,52500,65391.2,17.755,17.19,247.705,298.475,15.8,15.465,10250,12300,5843,21121.5,67.1,67.55,7672.96,15656.70312
 60 months,D,small_business,old,MORTGAGE,Source Verified,81000,108500,8.44,8.16,502.86,411.355,16.07,16.61,22500,16625,9934,5770,39.5,70.9,10961.78,22316.85556
 60 months,D,small_business,old,MORTGAGE,Verified,66000,84750,13.92,10.815,403.63,395.105,16.02,15.8,17000,22500,22393,8024.5,71.8,57.35,12758.03,21166.7232
 60 months,D,small_business,old,OWN,Source Verified,60000,,3.96,,255.46,,16.02,,10500,,7576,,33.7,,5314.29,
 60 months,D,small_business,old,RENT,Source Verified,47500,157000,15.345,7.29,433.365,385.97,16.44,15.99,22525,25000,559,6639,9.45,61.5,8260.545,18789.29103
 60 months,D,small_business,old,RENT,Verified,60000,86000,16.52,19.085,548.66,655.65,16.49,17.08,22750,26300,6390,16821,41.5,26.8,9336.39,33807.57486
 60 months,D,vacation,mid,RENT,Not Verified,,44400,,20.51,,71.82,,15.28,,3000,,4941,,78.4,,4308.299999
 60 months,D,vacation,mid,RENT,Source Verified,,26400,,23.65,,143.41,,15.21,,6000,,1902,,34.6,,8603.871525
 60 months,D,vacation,new,MORTGAGE,Source Verified,,30000,,18.56,,171.08,,16.89,,6900,,3301,,38.8,,10003.6
 60 months,D,vacation,old,MORTGAGE,Not Verified,,35000,,13.23,,97.17,,15.95,,4000,,1638,,32.8,,5829.835808
 60 months,D,vacation,old,MORTGAGE,Source Verified,,78000,,22,,208.93,,16.49,,8500,,38374,,89,,10114.6902
 60 months,D,vacation,old,MORTGAGE,Verified,,52000,,19.55,,376.76,,17.49,,15000,,5106,,63,,21940.00003
 60 months,D,wedding,mid,MORTGAGE,Not Verified,61500,40000,17.465,11.42,311.19,119.48,15.265,15.2,13000,5000,23661,4326,59.25,16.4,9456.82,6137.208927
 60 months,D,wedding,mid,MORTGAGE,Source Verified,,125000,,7.52,,284.41,,14.83,,12000,,19359,,93.6,,15348.86505
 60 months,D,wedding,mid,MORTGAGE,Verified,,102000,,19.24,,418.26,,15.21,,17500,,1404,,12.1,,22932.54317
 60 months,D,wedding,mid,RENT,Not Verified,,70000,,21.21,,142.21,,14.83,,6000,,13808,,55.7,,8532.135317
 60 months,D,wedding,mid,RENT,Source Verified,96448,30000,11.425,16.13,229.565,150.71,15.785,16.02,9500,6000,2179,2233,38.9,79.7,6307.125,9041.73042
 60 months,D,wedding,mid,RENT,Verified,,58295,,14.68,,534.89,,15.99,,25000,,8815,,58.4,,27463.06739
 60 months,D,wedding,new,MORTGAGE,Source Verified,,80750,,12.54,,266.445,,15.65,,11000,,5004,,21.5,,15962.09267
 60 months,D,wedding,new,MORTGAGE,Verified,,72000,,24.58,,491.59,,16.49,,20000,,12231,,34.8,,22112.93577
 60 months,D,wedding,new,RENT,Not Verified,,44400,,23.59,,367.46,,15.58,,15250,,5351,,39.6,,20127.50525
 60 months,D,wedding,new,RENT,Source Verified,44400,59500,11.38,18.305,208.27,285.89,16.89,15.78,8400,11800,6403,3013,66.3,48.8,10586.73,16539.04498
 60 months,D,wedding,new,RENT,Verified,44000,46000,11.865,21.41,203,239.01,15.82,15.65,8400,10000,7940,1413,74.55,26.2,6914.36,12048.4264
 60 months,D,wedding,old,MORTGAGE,Not Verified,,74500,,13.11,,95.75,,15.28,,4000,,8414,,76.5,,5363.467283
 60 months,D,wedding,old,MORTGAGE,Source Verified,,55000,,11.24,,307.24,,16.49,,12500,,6335,,40.6,,16551.16659
 60 months,D,wedding,old,MORTGAGE,Verified,56898,102000,7.26,13.73,240.96,346.62,15.58,15.58,10000,13800,4027,5364,60.5,40.9,8031.63,19349.90268
 60 months,D,wedding,old,RENT,Source Verified,150000,49000,9.22,14.46,528.48,213.77,17.58,15.95,21000,8800,35615,5490,94.2,61,13333.83,12825.76242
 60 months,D,wedding,old,RENT,Verified,86779,,18.35,,612.72,,18.25,,24000,,14905,,78.5,,9735.17,
 60 months,E,car,mid,MORTGAGE,Source Verified,,64500,,4.15,,313.21,,19.29,,12000,,5444,,82.5,,18317.56044
 60 months,E,car,mid,MORTGAGE,Verified,,107400,,8.42,,309.75,,16.795,,12500,,28564.5,,47.85,,18318.78921
 60 months,E,car,mid,OWN,Not Verified,,32500,,16.105,,58.12,,16.98,,2350,,3697.5,,66.5,,3207.107149
 60 months,E,car,mid,OWN,Source Verified,,48000,,5.9,,302.35,,16.4,,12325,,11072,,17.2,,17785.52003
 60 months,E,car,mid,RENT,Not Verified,,28800,,7.33,,197.49,,16.69,,8000,,5277,,81.2,,11849.35909
 60 months,E,car,mid,RENT,Source Verified,43596,45960,2.95,6.48,103.04,171.295,16.4,16.61,4200,6950,3392,3491,91.7,62.55,2235.88,10124.02465
 60 months,E,car,mid,RENT,Verified,42800,18000,16.075,17.2,210.365,119.16,18.27,17.43,8200,4750,3665,0,49.9,0,5664.04,5703.376202
 60 months,E,car,new,MORTGAGE,Not Verified,,94000,,7.005,,135.765,,16.755,,5500,,12693.5,,82.05,,7974.551314
 60 months,E,car,new,MORTGAGE,Source Verified,45000,43920,14.27,15.71,123.78,147.19,16.82,16.4,5000,6000,5283,21741,48,90.2,3647.99,8831.606167
 60 months,E,car,new,MORTGAGE,Verified,,62000,,23.96,,162.49,,17.99,,6400,,30982,,92.8,,9245.468847
 60 months,E,car,new,OWN,Source Verified,,16107,,16.095,,109.835,,16.425,,4475,,2581,,34.3,,5596.376744
 60 months,E,car,new,RENT,Not Verified,,24000,,7.8,,114.18,,17.19,,4700,,2630,,50.6,,6076.414785
 60 months,E,car,new,RENT,Source Verified,,32500,,10.1,,120.81,,16.61,,4900,,4726,,70.55,,7200.742632
 60 months,E,car,new,RENT,Verified,53000,22800,14.31,16.11,403.84,113.55,17.14,17.19,16200,4550,17699,2315,73.7,89,14845,6725.260002
 60 months,E,car,old,MORTGAGE,Not Verified,,96000,,11.44,,263.22,,19.69,,10000,,14153,,87.4,,15229.49
 60 months,E,car,old,MORTGAGE,Source Verified,,50220,,8.06,,101.56,,17.99,,4000,,1609,,63.3,,5899.52
 60 months,E,car,old,RENT,Source Verified,,51600,,8.93,,253.88,,17.99,,10000,,37,,1.2,,11559.38782
 60 months,E,car,old,RENT,Verified,88000,,7.62,,542.76,,17.51,,21600,,3255,,45.8,,28048.98,
 60 months,E,credit_card,mid,MORTGAGE,Not Verified,,65000,,14.33,,253.29,,17.88,,10000,,24082,,73.6,,14272.97079
 60 months,E,credit_card,mid,MORTGAGE,Source Verified,110000,96000,14.23,13.915,568.98,320.45,17.19,17.325,22800,12900,24707,55480,85.1,67.05,5542.15,15312.68929
 60 months,E,credit_card,mid,MORTGAGE,Verified,90000,68250,13.06,22.81,593.77,523.245,19.03,17.975,35000,24625,20839,32082.5,83.8,67.8,19075.97,29681.06597
 60 months,E,credit_card,mid,OWN,Source Verified,,27000,,13.96,,351.71,,19.29,,13475,,3863,,47.1,,18683.93673
 60 months,E,credit_card,mid,OWN,Verified,45000,,13.045,,321.79,,18.64,,12500,,11980.5,,68.7,,4626.235,
 60 months,E,credit_card,mid,RENT,Not Verified,41900,,12.26,,315.87,,19.69,,12000,,10044,,42.6,,4434.82,
 60 months,E,credit_card,mid,RENT,Source Verified,111000,42500,15.73,17.32,414.57,320.38,17.93,17.14,25000,12800,39485,10991,79.6,95.6,15401.17,19161.99001
 60 months,E,credit_card,mid,RENT,Verified,44000,60000,12.665,18.06,194.695,396.66,18.44,18.79,7625,20000,8196.5,14437,97.55,86.1,8234.325,21055.75337
 60 months,E,credit_card,new,MORTGAGE,Not Verified,50150,70000,12.77,21.34,384.97,301.86,19.275,17.56,14750,12000,23392,10142,84,84.1,9014.96,18111.23999
 60 months,E,credit_card,new,MORTGAGE,Source Verified,59740,50000,14.89,16.75,521.585,226.15,18.075,17.43,20500,9000,21458,7412,79.9,56.6,8104.995,13553.08002
 60 months,E,credit_card,new,MORTGAGE,Verified,108000,85000,16.205,14.495,484.455,502.01,16.915,18.71,21600,19475,40133,21245,70.5,81,10593.44,28974.81824
 60 months,E,credit_card,new,OWN,Source Verified,24000,,9.8,,122.66,,16.4,,5000,,6909,,29.3,,5427.25,
 60 months,E,credit_card,new,OWN,Verified,60000,49250,18.68,17.84,408.29,373.6,19.42,17.1,15600,15000,5838,17100,95.2,94.4,9292.51,20189.79562
 60 months,E,credit_card,new,RENT,Not Verified,,55500,,19.195,,296.06,,17.165,,11500,,16105.5,,93.75,,17453.165
 60 months,E,credit_card,new,RENT,Source Verified,36200,55000,17.875,18.53,346.84,299.14,17.74,17.14,13750,12000,15134,15065,92.45,83.7,4047.45,16418.91715
 60 months,E,credit_card,new,RENT,Verified,42500,70000,16.375,18.96,218.015,519.15,18.64,19.03,8500,20000,9686,20168,66.2,78.3,5126.64,27281.7898
 60 months,E,credit_card,old,MORTGAGE,Not Verified,,94800,,18.055,,434.3,,17.535,,17250,,18490.5,,69.8,,25270.93398
 60 months,E,credit_card,old,MORTGAGE,Source Verified,77500,98000,14.43,18.02,374.78,346.59,17.73,17.56,18500,14000,14030.5,15789,65.35,78.8,5042.42,20040.69985
 60 months,E,credit_card,old,MORTGAGE,Verified,84500,86050,16.41,18.18,514.175,543.9,18.075,17.56,20000,25000,25341.5,26675,75.15,69.45,9540.025,28746.33771
 60 months,E,credit_card,old,OWN,Not Verified,40000,38000,16.68,15.91,117.88,304.66,16.45,17.99,4800,12000,12521,2480,42.6,57.7,4007.79,15611.71239
 60 months,E,credit_card,old,OWN,Source Verified,120000,,9.17,,772.29,,18.64,,30000,,21673,,66,,24439.43,
 60 months,E,credit_card,old,OWN,Verified,67000,,16.82,,349.26,,18.735,,13500,,19520.5,,89.7,,6326.905,
 60 months,E,credit_card,old,RENT,Not Verified,55000,36000,19.09,21.6,340.24,190.12,19.42,16.4,13000,7750,10520,17958,47.8,70.1,7825.52,9122.166561
 60 months,E,credit_card,old,RENT,Source Verified,83374,46000,10.31,14.27,331.66,162.27,18.79,16.45,12600,6200,13844,11013,97.2,90.3,3646.39,8822.824441
 60 months,E,credit_card,old,RENT,Verified,66500,72800,19.095,17.595,404.535,533.815,19.665,19.275,19500,20500,15929.5,21985,82.95,72.9,14394.635,24825.90762
 60 months,E,debt_consolidation,mid,MORTGAGE,Not Verified,68498,60000,21.175,14.78,257.74,296.75,16.425,16.77,10500,12000,14105.5,7444,70,64.1,3114.83,15924.5862
 60 months,E,debt_consolidation,mid,MORTGAGE,Source Verified,71500,84000,13.635,15.745,420.205,379.97,17.375,18.19,16875,15500,10372.5,12920.5,49.5,79.05,4440.28,22537.035
 60 months,E,debt_consolidation,mid,MORTGAGE,Verified,78000,85000,16.2,14.97,519.32,513.77,17.56,17.56,21000,22750,15878,17535,73.4,65.9,8969.11,27522.1336
 60 months,E,debt_consolidation,mid,OWN,Not Verified,,95000,,24.85,,421.15,,19.69,,16000,,38245,,96.1,,24241.64
 60 months,E,debt_consolidation,mid,OWN,Source Verified,55000,55824,21.62,10.06,469.91,282.66,19.42,19.42,17625,10800,15860,7786,73,87.5,978.9,16230.29998
 60 months,E,debt_consolidation,mid,OWN,Verified,88500,55000,20.695,20.13,375.39,507.76,18.64,19.03,15000,20000,24211,20372,79.25,84.9,6510.72,30311.91
 60 months,E,debt_consolidation,mid,RENT,Not Verified,39150,41600,11.34,19.31,204.85,294.38,17.56,17.14,8000,12000,9245,10646,84.1,80.1,5777.6,14911.99975
 60 months,E,debt_consolidation,mid,RENT,Source Verified,54000,48000,16.23,14.07,315.87,314.07,17.14,17.88,15000,12000,8685,9566,72.7,68.4,11773.96,16793.99313
 60 months,E,debt_consolidation,mid,RENT,Verified,50100,60000,16.42,15.55,398.795,455.08,17.905,18.515,16500,19487.5,12016.5,13596.5,74.6,73.45,4897.075,24378.74234
