,,,,,,annual_inc,annual_inc,dti,dti,installment,installment,int_rate,int_rate,loan_amnt,loan_amnt,revol_bal,revol_bal,revol_util,revol_util,total_pymnt,total_pymnt
loan_status,,,,,,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid
term,grade,purpose,emp_length,home_ownership,verification_status,,,,,,,,,,,,,,,,
 36 months,A,educational,mid,RENT,Verified,40000,54000,2.91,12.42,190.63,75.21,8.94,8,6000,2400,7198,3501,32,7.6,5091.59,2707.431606
 36 months,A,educational,new,MORTGAGE,Not Verified,,34250,,8.6,,109.17,,7.81,,3500,,1824.5,,8,,3801.429131
 36 months,A,educational,new,MORTGAGE,Verified,,112123,,15.43,,406.68,,8.94,,12800,,0,,0,,13418.4492
 36 months,A,educational,new,OTHER,Verified,,31992,,3.75,,208.62,,9.63,,6500,,883,,13.8,,7112.346276
 36 months,A,educational,new,OWN,Not Verified,,52500,,11.98,,95.24,,8.765,,3000,,10872.5,,14.65,,3139.718595
 36 months,A,educational,new,RENT,Not Verified,12996,42400,0,10.155,110.64,156.395,8.59,7.94,3500,5000,11717,2446.5,32.6,12.3,1223.93,5619.526187
 36 months,A,educational,new,RENT,Source Verified,,37498,,13.83,,139.615,,9.11,,4350,,117.5,,1.45,,5035.710597
 36 months,A,educational,new,RENT,Verified,55000,27250,3.53,19.91,297.7,104.47,8,9.13,9500,3275,7171,1891,10.7,19.35,3295.24,3700.85108
 36 months,A,educational,old,MORTGAGE,Not Verified,41050,65000,17.6,8.83,251.88,188.91,8.32,8.59,8000,6000,7017,2340,8.4,14.9,3021.66,6539.813125
 36 months,A,educational,old,MORTGAGE,Source Verified,,18500,,19.14,,159.74,,9.32,,5000,,11096,,10.4,,5750.36718
 36 months,A,educational,old,OTHER,Not Verified,,42162,,11.47,,74.93,,7.74,,2400,,13852,,24.5,,2697.386477
 36 months,A,educational,old,OWN,Not Verified,,67000,,19.52,,112,,7.51,,3600,,687,,16.8,,3808.055334
 36 months,A,educational,old,RENT,Not Verified,,45000,,6.29,,158.86,,7.88,,5000,,1569,,2.4,,5230.557516
 36 months,A,educational,old,RENT,Verified,,38004,,14.02,,160.48,,9.63,,5000,,10011,,43.2,,5764.254193
 36 months,A,home_improvement,mid,MORTGAGE,Not Verified,46000,60000,15.08,9.54,157.6,206.52,8.195,7.14,5100,6600,18405.5,3400,29.75,14,1766.775,7434.545001
 36 months,A,home_improvement,mid,MORTGAGE,Source Verified,35000,68000,2.57,9.05,126.26,243.785,8.49,6.84,4000,7900,2416,2796.5,24.9,15.15,2434.21,8638.939924
 36 months,A,home_improvement,mid,MORTGAGE,Verified,118000,90000,5.29,8.44,876.13,311.02,7.9,7.49,28000,10000,11849,5937,24.8,19,9959.66,10950.24663
 36 months,A,home_improvement,mid,OWN,Not Verified,,69562.68,,7.63,,154.3,,7.57,,5000,,5878.5,,13.1,,5393.820189
 36 months,A,home_improvement,mid,OWN,Source Verified,,61450,,8.52,,190.52,,7.49,,6000,,5909,,27.6,,6858.690043
 36 months,A,home_improvement,mid,OWN,Verified,102000,40000,17.91,21.42,755.73,93.54,8.9,7.66,23800,3000,10250,2294,22.5,56.6,5239.12,3267.158841
 36 months,A,home_improvement,mid,RENT,Not Verified,,47498,,7.1,,151.61,,7.14,,4900,,2233,,7.45,,5458.277697
 36 months,A,home_improvement,mid,RENT,Source Verified,,29004,,9.76,,46.67,,7.51,,1500,,3932,,52.4,,1568.494891
 36 months,A,home_improvement,mid,RENT,Verified,41000,57000,1.26,22.78,74.43,230.73,7.29,6.62,2400,10000,1978,3548,12.4,5.9,2492.41,8306.915435
 36 months,A,home_improvement,new,MORTGAGE,Not Verified,49500,65000,15.635,8.1,123.445,197.72,7.435,7.51,5012.5,6500,35022,4137,2.05,12.9,2302.2,7117.650316
 36 months,A,home_improvement,new,MORTGAGE,Source Verified,96000,82500,15.81,6.82,252.51,257.02,7.29,6.99,8000,9000,14135,4549,29.8,18.5,4039.49,9252.471269
 36 months,A,home_improvement,new,MORTGAGE,Verified,56948,87000,12.13,7.42,241.98,307.04,8.645,7.49,7625,10000,19062,4826,48.2,8.8,1806.17,10810.11
 36 months,A,home_improvement,new,OTHER,Not Verified,,58600,,5.58,,142.59,,8,,4550,,19572,,49.3,,4960.45885
 36 months,A,home_improvement,new,OWN,Not Verified,45400,38000,12.13,7.71,150.635,242.62,8.765,7.51,4750,8000,124.5,3575,1.75,10.8,4405.48,8734.124558
 36 months,A,home_improvement,new,OWN,Source Verified,,53002,,8.955,,311.825,,6.955,,10000,,3759.5,,12.75,,11148.09503
 36 months,A,home_improvement,new,OWN,Verified,,41500,,6.185,,247.465,,7.32,,7875,,2998,,8.3,,8774.844995
 36 months,A,home_improvement,new,RENT,Not Verified,,47500,,9.945,,172.9,,7.705,,5550,,1045.5,,10.75,,6138.529399
 36 months,A,home_improvement,new,RENT,Source Verified,39000,51454,10.09,6.495,146.92,221.73,7.555,7.215,4750,7100,2679,2628,26.9,20.65,2364.305,7982.07496
 36 months,A,home_improvement,new,RENT,Verified,,64500,,1.48,,254.96,,7.89,,8100,,2922.5,,16.6,,9176.138953
 36 months,A,home_improvement,old,MORTGAGE,Not Verified,70000,66210,11.63,11.28,152.42,197.72,7.66,7.14,5000,6450,17915,5261.5,45.1,19,1686.82,7071.774632
 36 months,A,home_improvement,old,MORTGAGE,Source Verified,60000,75000,6.04,8.04,473.45,213.05,8.49,6.99,15000,7000,81754,5410,72.5,17.7,15812.88,7409.634567
 36 months,A,home_improvement,old,MORTGAGE,Verified,67850,96150,20.135,9.575,277.17,302.285,7.595,7.49,8900,10000,26539.5,8506.5,30.85,17.6,3693.105,10769.13091
 36 months,A,home_improvement,old,OTHER,Verified,70000,,12.19,,481.42,,9.63,,15000,,8850,,16.5,,3369.3,
 36 months,A,home_improvement,old,OWN,Not Verified,45000,50000,11.89,8.94,312.82,190.63,7.88,6.99,10000,6000,11252,4034,39.2,11.7,8321.81,6863.174429
 36 months,A,home_improvement,old,OWN,Source Verified,,54000,,12.505,,233.03,,6.92,,7600,,6282.5,,14.6,,8379.015445
 36 months,A,home_improvement,old,OWN,Verified,,58000,,10.03,,247.53,,7.49,,8000,,1403,,3.1,,8334.173498
 36 months,A,home_improvement,old,RENT,Not Verified,,57500,,11.3,,56.145,,7.44,,2250,,13288.5,,40.8,,1982.075028
 36 months,A,home_improvement,old,RENT,Source Verified,30000,60000,5,6.32,311.11,216.11,7.51,6.99,10000,7000,1450,5196,1.2,9.7,2247.21,7779.867153
 36 months,A,home_improvement,old,RENT,Verified,36000,79000,2.37,10.15,277.53,513.51,6.91,7.9,9000,16000,1376,2468,3.8,10.7,2496.87,18486.28898
 36 months,A,house,mid,MORTGAGE,Not Verified,,77500,,5.27,,424.445,,5.725,,14000,,7263.5,,13.45,,14899.9426
 36 months,A,house,mid,MORTGAGE,Source Verified,,52250,,2.205,,133.17,,7.24,,4300,,546,,5.9,,4778.510956
 36 months,A,house,mid,MORTGAGE,Verified,,70000,,3.05,,263.23,,8,,8400,,1506,,6.6,,9439.928592
 36 months,A,house,mid,OTHER,Not Verified,,70000,,8.45,,288.85,,9.63,,9000,,7215,,30.8,,10398.53813
 36 months,A,house,mid,RENT,Not Verified,,56250,,14.365,,261.58,,6.765,,8500,,6129.5,,16.15,,9042.766846
 36 months,A,house,mid,RENT,Source Verified,19200,57600,25.5,11.52,37.22,243.49,7.29,6.03,1200,8000,0,8311,0,12.4,296.4,8765.414062
 36 months,A,house,mid,RENT,Verified,,67500,,19.205,,284.79,,7.29,,9000,,8464,,33.5,,9564.243321
 36 months,A,house,new,MORTGAGE,Not Verified,30000,75000,12.52,6.405,152.45,241.365,9.63,6.77,4750,7812.5,6070,3844.5,30.3,20.9,472.03,8216.985009
 36 months,A,house,new,MORTGAGE,Source Verified,,79000,,0.5,,156.69,,8,,5000,,33,,0.2,,5529.838881
 36 months,A,house,new,MORTGAGE,Verified,,77000,,10.095,,353.325,,7.66,,12500,,5393,,17.65,,12654.12068
 36 months,A,house,new,OWN,Not Verified,,23100,,4.32,,125.265,,7.655,,4025,,433,,1.25,,4397.135652
 36 months,A,house,new,RENT,Not Verified,,48000,,8.63,,248.89,,8.59,,8000,,2805,,15.8,,8859.841429
 36 months,A,house,new,RENT,Source Verified,,32000,,9.24,,317.54,,7.29,,10000,,4028,,10,,11048.25883
 36 months,A,house,new,RENT,Verified,,63000,,16.9,,47.01,,8,,1500,,5848,,44.6,,1668.441065
 36 months,A,house,old,MORTGAGE,Not Verified,,54000,,18.29,,312.91,,7.88,,10000,,13093,,9.6,,11264.45805
 36 months,A,house,old,MORTGAGE,Source Verified,,99000,,5.63,,276.97,,6.76,,9100,,5224,,18.9,,9970.658074
 36 months,A,house,old,MORTGAGE,Verified,,105000,,2.93,,382.12,,7.49,,12600,,8680,,16,,13345.72067
 36 months,A,house,old,OWN,Source Verified,,103750,,5.34,,386.315,,6.845,,12500,,55.5,,0.1,,13496.165
 36 months,A,house,old,RENT,Not Verified,,54000,,10.72,,271.335,,6.845,,8800,,3946.5,,15.05,,9467.784262
 36 months,A,house,old,RENT,Source Verified,,82000,,13.91,,83.475,,6.205,,2750,,4792,,35.55,,2981.144431
 36 months,A,house,old,RENT,Verified,,88000,,6.57,,426.1,,7.66,,14000,,9706,,23.5,,15120.8811
